Station,Line(s),Zone(s)
Acton Town,District|Piccadilly,3
Aldgate,Circle|Metropolitan,1
Aldgate East,District|Hammersmith & City,1
Alperton,Piccadilly,4
Amersham,Metropolitan,9
Angel,Northern,1
Archway,Northern,2|3
Arnos Grove,Piccadilly,4
Arsenal,Piccadilly,2
Baker Street,Bakerloo|Circle|Hammersmith & City|Jubilee|Metropolitan,1
Balham,Northern,3
Bank,Central|Northern|Waterloo & City,1
Barbican,Circle|Hammersmith & City|Metropolitan,1
Barking,District|Hammersmith & City,4
Barkingside,Central,4
Barons Court,District|Piccadilly,2
Battersea Power Station,Northern,1
Bayswater,Circle|District,1
Becontree,District,5
Belsize Park,Northern,2
Bermondsey,Jubilee,2
Bethnal Green,Central,2
Blackfriars,Circle|District,1
Blackhorse Road,Victoria,3
Bond Street,Central|Jubilee,1
Borough,Northern,1
Boston Manor,Piccadilly,4
Bounds Green,Piccadilly,3|4
Bow Road,District|Hammersmith & City,2
Brent Cross,Northern,3
Brixton,Victoria,2
Bromley-by-Bow,District|Hammersmith & City,2|3
Buckhurst Hill,Central,5
Burnt Oak,Northern,4
Caledonian Road,Piccadilly,2
Camden Town,Northern,2
Canada Water,Jubilee,2
Canary Wharf,Jubilee,2
Canning Town,Jubilee,2|3
Cannon Street,Circle|District,1
Canons Park,Jubilee,5
Chalfont & Latimer,Metropolitan,8
Chalk Farm,Northern,2
Chancery Lane,Central,1
Charing Cross,Bakerloo|Northern,1
Chesham,Metropolitan,9
Chigwell,Central,4
Chiswick Park,District,3
Chorleywood,Metropolitan,7
Clapham Common,Northern,2
Clapham North,Northern,2
Clapham South,Northern,2|3
Cockfosters,Piccadilly,5
Colindale,Northern,4
Colliers Wood,Northern,3
Covent Garden,Piccadilly,1
Croxley,Metropolitan,7
Dagenham East,District,5
Dagenham Heathway,District,5
Debden,Central,6
Dollis Hill,Jubilee,3
Ealing Broadway,Central|District,3
Ealing Common,District|Piccadilly,3
Earl's Court,District|Piccadilly,1|2
East Acton,Central,2
East Finchley,Northern,3
East Ham,District|Hammersmith & City,3|4
East Putney,District,2|3
Eastcote,Metropolitan|Piccadilly,5
Edgware,Northern,5
Edgware Road (Bakerloo),Bakerloo,1
Edgware Road (Circle/District/Hammersmith & City),Circle|District|Hammersmith & City,1
Elephant & Castle,Bakerloo|Northern,1|2
Elm Park,District,6
Embankment,Bakerloo|Circle|District|Northern,1
Epping,Central,6
Euston,Northern|Victoria,1
Euston Square,Circle|Hammersmith & City|Metropolitan,1
Fairlop,Central,4
