Station,Line(s),Zone(s)
Abbey Road,DLR,2|3
All Saints,DLR,2
Bank,DLR,1
Beckton,DLR,3
Beckton Park,DLR,3
Blackwall,DLR,2
Bow Church,DLR,2
Canary Wharf,DLR,2
Canning Town,DLR,2|3
Crossharbour,DLR,2
Custom House,DLR,3
Cutty Sark for Maritime Greenwich,DLR,2|3
Cyprus,DLR,3
Deptford Bridge,DLR,2|3
Devons Road,DLR,2
East India,DLR,2|3
Elverson Road,DLR,2|3
Gallions Reach,DLR,3
Greenwich,DLR,2|3
Heron Quays,DLR,2
Island Gardens,DLR,2
King George V,DLR,3
Langdon Park,DLR,2
Lewisham,DLR,2|3
Limehouse,DLR,2
London City Airport,DLR,3
Mudchute,DLR,2
Pontoon Dock,DLR,3
Poplar,DLR,2
Prince Regent,DLR,3
Pudding Mill Lane,DLR,2|3
Royal Albert,DLR,3
Royal Victoria,DLR,3
Shadwell,DLR,2
South Quay,DLR,2
Star Lane,DLR,2|3
Stratford,DLR,2|3
Stratford High Street,DLR,2|3
Stratford International,DLR,2|3
Tower Gateway,DLR,1
West Ham,DLR,2|3
West India Quay,DLR,2
West Silvertown,DLR,3
Westferry,DLR,2
Woolwich Arsenal,DLR,4
