Station,Line(s),Zone(s)
Acton Central,London Overground,3
Anerley,London Overground,4
Barking,London Overground,4
Barking Riverside,London Overground,4
Battersea Park,London Overground,2
Bethnal Green,London Overground,2
Blackhorse Road,London Overground,3
Brockley,London Overground,2
Brondesbury,London Overground,2
Brondesbury Park,London Overground,2
Bruce Grove,London Overground,3
Bush Hill Park,London Overground,5
Bushey,London Overground,8
Caledonian Road & Barnsbury,London Overground,2
Cambridge Heath,London Overground,2
Camden Road,London Overground,2
Canada Water,London Overground,2
Canonbury,London Overground,2
Carpenders Park,London Overground,7
Cheshunt,London Overground,8
Chingford,London Overground,5
Clapham High Street,London Overground,2
Clapham Junction,London Overground,2
Clapton,London Overground,2|3
Crouch Hill,London Overground,3
Crystal Palace,London Overground,3|4
Dalston Junction,London Overground,2
Dalston Kingsland,London Overground,2
Denmark Hill,London Overground,2
Edmonton Green,London Overground,4
Emerson Park,London Overground,6
Enfield Town,London Overground,5
Euston,London Overground,1
Finchley Road & Frognal,London Overground,2
Forest Hill,London Overground,3
Gospel Oak,London Overground,2
Gunnersbury,London Overground,3
Hackney Central,London Overground,3
Hackney Downs,London Overground,2
Hackney Wick,London Overground,2
Haggerston,London Overground,2
Hampstead Heath,London Overground,2
Harlesden,London Overground,3
Harringay Green Lanes,London Overground,3
Harrow & Wealdstone,London Overground,5
Hatch End,London Overground,6
Headstone Lane,London Overground,5
Highams Park,London Overground,4
Highbury & Islington,London Overground,2
Homerton,London Overground,2
Honor Oak Park,London Overground,3
Hoxton,London Overground,1|2
Imperial Wharf,London Overground,2
Kensal Green,London Overground,2
Kensal Rise,London Overground,2
Kensington (Olympia),London Overground,2
Kentish Town West,London Overground,2
Kenton,London Overground,4
Kew Gardens,London Overground,3|4
Kilburn High Road,London Overground,2
Leyton Midland Road,London Overground,3
Leytonstone High Road,London Overground,3
Liverpool Street,London Overground,1
London Fields,London Overground,2
New Cross,London Overground,2
New Cross Gate,London Overground,2
North Wembley,London Overground,4
Norwood Junction,London Overground,4
Peckham Rye,London Overground,2
Penge West,London Overground,4
Queen's Park,London Overground,2
Queens Road Peckham,London Overground,2
Rectory Road,London Overground,2
Richmond,London Overground,4
Romford,London Overground,6
Rotherhithe,London Overground,2
Seven Sisters,London Overground,3
Shadwell,London Overground,2
Shepherd's Bush,London Overground,2
Shoreditch High Street,London Overground,1
Silver Street,London Overground,4
South Acton,London Overground,3
South Hampstead,London Overground,2
South Kenton,London Overground,4
South Tottenham,London Overground,3
Southbury,London Overground,5
St James Street,London Overground,3
Stamford Hill,London Overground,3
Stoke Newington,London Overground,2
Stonebridge Park,London Overground,3
Stratford,London Overground,2|3
Surrey Quays,London Overground,2
Sydenham,London Overground,3
Theobalds Grove,London Overground,7
Turkey Street,London Overground,6
Upminster,London Overground,6
Upper Holloway,London Overground,2
Walthamstow Central,London Overground,3
Walthamstow Queen's Road,London Overground,3
Wandsworth Road,London Overground,2
Wanstead Park,London Overground,3
Wapping,London Overground,2
Watford High Street,London Overground,8
Watford Junction,London Overground,8
Wembley Central,London Overground,4
West Brompton,London Overground,2
West Croydon,London Overground,5
West Hampstead,London Overground,2
White Hart Lane,London Overground,3
Whitechapel,London Overground,2
Willesden Junction,London Overground,2|3
Wood Street,London Overground,4
Woodgrange Park,London Overground,3|4
