Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
07-Aug-2026,17:50,18:15,Stratford [London Overground] to Limehouse DLR,2.30,,,
07-Aug-2026,09:50,10:15,Limehouse DLR to Stratford [London Overground],2.20,,,
05-Aug-2026,17:42,18:06,Tottenham Court Road to Limehouse DLR,3.60,,,
05-Aug-2026,08:04,08:28,Limehouse DLR to Tottenham Court Road,3.60,,,
03-Aug-2026,21:15,21:27,Canary Wharf DLR to Limehouse DLR,2.20,,,
03-Aug-2026,18:30,18:42,Limehouse DLR to Canary Wharf DLR,2.30,,,
01-Aug-2026,20:20,20:40,Shoreditch High Street [London Overground] to Limehouse DLR,3.10,,,
01-Aug-2026,18:11,18:56,Romford [London Overground] to Shoreditch High Street [London Overground],4.00,,,
01-Aug-2026,11:10,11:50,Limehouse DLR to Romford [London Overground],2.60,,,
31-Jul-2026,20:27,20:47,Bank DLR to Limehouse DLR,0.30,,,Fare capped after reaching the applicable daily or weekly charging limit
31-Jul-2026,17:15,17:50,Forest Hill [London Overground] to Bank,3.30,,,
31-Jul-2026,12:29,13:04,Tottenham Court Road to Forest Hill [London Overground],3.30,,,
31-Jul-2026,08:17,08:41,Limehouse DLR to Tottenham Court Road,3.60,,,
30-Jul-2026,20:21,20:41,Bank DLR to Limehouse DLR,0.30,,,Fare capped after reaching the applicable daily or weekly charging limit
30-Jul-2026,17:06,17:41,Acton Town to Bank,3.30,,,
30-Jul-2026,12:12,12:47,Tottenham Court Road to Acton Town,3.30,,,
30-Jul-2026,08:16,08:40,Limehouse DLR to Tottenham Court Road,3.60,,,
29-Jul-2026,20:27,20:47,Bank DLR to Limehouse DLR,0.30,,,Fare capped after reaching the applicable daily or weekly charging limit
29-Jul-2026,17:24,17:59,Stratford to Bank,3.30,,,
29-Jul-2026,12:11,12:46,Tottenham Court Road to Stratford,3.30,,,
29-Jul-2026,08:20,08:44,Limehouse DLR to Tottenham Court Road,3.60,,,
28-Jul-2026,20:24,20:44,Bank DLR to Limehouse DLR,0.30,,,Fare capped after reaching the applicable daily or weekly charging limit
28-Jul-2026,17:13,17:48,Balham to Bank,3.30,,,
28-Jul-2026,12:25,13:00,Tottenham Court Road to Balham,3.30,,,
28-Jul-2026,08:13,08:37,Limehouse DLR to Tottenham Court Road,3.60,,,
27-Jul-2026,20:29,20:49,Bank DLR to Limehouse DLR,0.30,,,Fare capped after reaching the applicable daily or weekly charging limit
27-Jul-2026,17:22,17:57,Forest Hill [London Overground] to Bank,3.30,,,
27-Jul-2026,12:10,12:45,Tottenham Court Road to Forest Hill [London Overground],3.30,,,
27-Jul-2026,08:19,08:43,Limehouse DLR to Tottenham Court Road,3.60,,,
26-Jul-2026,22:15,22:30,Canary Wharf DLR to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
26-Jul-2026,20:30,20:45,Limehouse DLR to Canary Wharf DLR,1.80,,,Fare capped after reaching the applicable daily or weekly charging limit
26-Jul-2026,20:11,20:35,Tottenham Court Road to Limehouse DLR,3.10,,,
26-Jul-2026,18:01,18:41,Acton Town to Tottenham Court Road,3.30,,,
26-Jul-2026,11:08,11:48,Limehouse DLR to Acton Town,2.30,,,
25-Jul-2026,22:15,22:30,Canary Wharf DLR to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
25-Jul-2026,20:30,20:45,Limehouse DLR to Canary Wharf DLR,1.80,,,Fare capped after reaching the applicable daily or weekly charging limit
25-Jul-2026,20:23,20:47,Tottenham Court Road to Limehouse DLR,3.10,,,
25-Jul-2026,18:18,18:58,Stratford to Tottenham Court Road,3.30,,,
25-Jul-2026,11:06,11:46,Limehouse DLR to Stratford,2.30,,,
23-Jul-2026,18:20,18:45,Stratford [London Overground] to Limehouse DLR,2.30,,,
23-Jul-2026,10:15,10:40,Limehouse DLR to Stratford [London Overground],2.20,,,
21-Jul-2026,17:33,17:57,Tottenham Court Road to Limehouse DLR,3.60,,,
21-Jul-2026,08:19,08:43,Limehouse DLR to Tottenham Court Road,3.60,,,
18-Jul-2026,21:15,21:27,Canary Wharf DLR to Limehouse DLR,2.20,,,
